ip_dst,time(t-10),traffic(t-10),data_len(t-10),time(t-9),traffic(t-9),data_len(t-9),time(t-8),traffic(t-8),data_len(t-8),time(t-7),traffic(t-7),data_len(t-7),time(t-6),traffic(t-6),data_len(t-6),time(t-5),traffic(t-5),data_len(t-5),time(t-4),traffic(t-4),data_len(t-4),time(t-3),traffic(t-3),data_len(t-3),time(t-2),traffic(t-2),data_len(t-2),time(t-1),traffic(t-1),data_len(t-1),time(t),traffic(t),data_len(t)
145.146.221.104,2019/04/01 18:49:45,4.0,724.0,2019/04/01 18:49:47,6.0,5576.0,2019/04/01 18:49:50,17.0,20039.0,2019/04/01 18:50:04,6.0,1902.0,2019/04/01 18:50:05,7.0,1292.0,2019/04/01 18:50:06,6.0,1325.0,2019/04/01 18:50:07,3.0,614.0,2019/04/01 18:50:08,6.0,6603.0,2019/04/01 18:50:09,4.0,921.0,2019/04/01 18:50:10,3.0,619.0,2019/04/01 18:50:11,6,1244
145.146.221.104,2019/04/01 18:49:47,6.0,5576.0,2019/04/01 18:49:50,17.0,20039.0,2019/04/01 18:50:04,6.0,1902.0,2019/04/01 18:50:05,7.0,1292.0,2019/04/01 18:50:06,6.0,1325.0,2019/04/01 18:50:07,3.0,614.0,2019/04/01 18:50:08,6.0,6603.0,2019/04/01 18:50:09,4.0,921.0,2019/04/01 18:50:10,3.0,619.0,2019/04/01 18:50:11,6.0,1244.0,2019/04/01 18:50:13,3,620
145.146.221.104,2019/04/01 18:49:50,17.0,20039.0,2019/04/01 18:50:04,6.0,1902.0,2019/04/01 18:50:05,7.0,1292.0,2019/04/01 18:50:06,6.0,1325.0,2019/04/01 18:50:07,3.0,614.0,2019/04/01 18:50:08,6.0,6603.0,2019/04/01 18:50:09,4.0,921.0,2019/04/01 18:50:10,3.0,619.0,2019/04/01 18:50:11,6.0,1244.0,2019/04/01 18:50:13,3.0,620.0,2019/04/01 18:50:21,12,7407
145.146.221.104,2019/04/01 18:50:04,6.0,1902.0,2019/04/01 18:50:05,7.0,1292.0,2019/04/01 18:50:06,6.0,1325.0,2019/04/01 18:50:07,3.0,614.0,2019/04/01 18:50:08,6.0,6603.0,2019/04/01 18:50:09,4.0,921.0,2019/04/01 18:50:10,3.0,619.0,2019/04/01 18:50:11,6.0,1244.0,2019/04/01 18:50:13,3.0,620.0,2019/04/01 18:50:21,12.0,7407.0,2019/04/01 18:50:22,6,1463
145.146.221.104,2019/04/01 18:50:05,7.0,1292.0,2019/04/01 18:50:06,6.0,1325.0,2019/04/01 18:50:07,3.0,614.0,2019/04/01 18:50:08,6.0,6603.0,2019/04/01 18:50:09,4.0,921.0,2019/04/01 18:50:10,3.0,619.0,2019/04/01 18:50:11,6.0,1244.0,2019/04/01 18:50:13,3.0,620.0,2019/04/01 18:50:21,12.0,7407.0,2019/04/01 18:50:22,6.0,1463.0,2019/04/01 18:50:23,6,1240
145.146.221.104,2019/04/01 18:50:06,6.0,1325.0,2019/04/01 18:50:07,3.0,614.0,2019/04/01 18:50:08,6.0,6603.0,2019/04/01 18:50:09,4.0,921.0,2019/04/01 18:50:10,3.0,619.0,2019/04/01 18:50:11,6.0,1244.0,2019/04/01 18:50:13,3.0,620.0,2019/04/01 18:50:21,12.0,7407.0,2019/04/01 18:50:22,6.0,1463.0,2019/04/01 18:50:23,6.0,1240.0,2019/04/01 18:50:24,6,1306
145.146.221.104,2019/04/01 18:50:07,3.0,614.0,2019/04/01 18:50:08,6.0,6603.0,2019/04/01 18:50:09,4.0,921.0,2019/04/01 18:50:10,3.0,619.0,2019/04/01 18:50:11,6.0,1244.0,2019/04/01 18:50:13,3.0,620.0,2019/04/01 18:50:21,12.0,7407.0,2019/04/01 18:50:22,6.0,1463.0,2019/04/01 18:50:23,6.0,1240.0,2019/04/01 18:50:24,6.0,1306.0,2019/04/01 18:50:25,6,1317
145.146.221.104,2019/04/01 18:50:08,6.0,6603.0,2019/04/01 18:50:09,4.0,921.0,2019/04/01 18:50:10,3.0,619.0,2019/04/01 18:50:11,6.0,1244.0,2019/04/01 18:50:13,3.0,620.0,2019/04/01 18:50:21,12.0,7407.0,2019/04/01 18:50:22,6.0,1463.0,2019/04/01 18:50:23,6.0,1240.0,2019/04/01 18:50:24,6.0,1306.0,2019/04/01 18:50:25,6.0,1317.0,2019/04/01 18:50:26,7,1287
145.146.221.104,2019/04/01 18:50:09,4.0,921.0,2019/04/01 18:50:10,3.0,619.0,2019/04/01 18:50:11,6.0,1244.0,2019/04/01 18:50:13,3.0,620.0,2019/04/01 18:50:21,12.0,7407.0,2019/04/01 18:50:22,6.0,1463.0,2019/04/01 18:50:23,6.0,1240.0,2019/04/01 18:50:24,6.0,1306.0,2019/04/01 18:50:25,6.0,1317.0,2019/04/01 18:50:26,7.0,1287.0,2019/04/01 18:50:46,7,6900
145.146.221.104,2019/04/01 18:50:10,3.0,619.0,2019/04/01 18:50:11,6.0,1244.0,2019/04/01 18:50:13,3.0,620.0,2019/04/01 18:50:21,12.0,7407.0,2019/04/01 18:50:22,6.0,1463.0,2019/04/01 18:50:23,6.0,1240.0,2019/04/01 18:50:24,6.0,1306.0,2019/04/01 18:50:25,6.0,1317.0,2019/04/01 18:50:26,7.0,1287.0,2019/04/01 18:50:46,7.0,6900.0,2019/04/01 18:50:47,6,1685
145.146.221.104,2019/04/01 18:50:11,6.0,1244.0,2019/04/01 18:50:13,3.0,620.0,2019/04/01 18:50:21,12.0,7407.0,2019/04/01 18:50:22,6.0,1463.0,2019/04/01 18:50:23,6.0,1240.0,2019/04/01 18:50:24,6.0,1306.0,2019/04/01 18:50:25,6.0,1317.0,2019/04/01 18:50:26,7.0,1287.0,2019/04/01 18:50:46,7.0,6900.0,2019/04/01 18:50:47,6.0,1685.0,2019/04/01 18:50:48,7,1284
145.146.221.104,2019/04/01 18:50:13,3.0,620.0,2019/04/01 18:50:21,12.0,7407.0,2019/04/01 18:50:22,6.0,1463.0,2019/04/01 18:50:23,6.0,1240.0,2019/04/01 18:50:24,6.0,1306.0,2019/04/01 18:50:25,6.0,1317.0,2019/04/01 18:50:26,7.0,1287.0,2019/04/01 18:50:46,7.0,6900.0,2019/04/01 18:50:47,6.0,1685.0,2019/04/01 18:50:48,7.0,1284.0,2019/04/01 18:50:49,25,25089
145.146.221.104,2019/04/01 18:50:21,12.0,7407.0,2019/04/01 18:50:22,6.0,1463.0,2019/04/01 18:50:23,6.0,1240.0,2019/04/01 18:50:24,6.0,1306.0,2019/04/01 18:50:25,6.0,1317.0,2019/04/01 18:50:26,7.0,1287.0,2019/04/01 18:50:46,7.0,6900.0,2019/04/01 18:50:47,6.0,1685.0,2019/04/01 18:50:48,7.0,1284.0,2019/04/01 18:50:49,25.0,25089.0,2019/04/01 18:50:50,6,1454
145.146.221.104,2019/04/01 18:50:22,6.0,1463.0,2019/04/01 18:50:23,6.0,1240.0,2019/04/01 18:50:24,6.0,1306.0,2019/04/01 18:50:25,6.0,1317.0,2019/04/01 18:50:26,7.0,1287.0,2019/04/01 18:50:46,7.0,6900.0,2019/04/01 18:50:47,6.0,1685.0,2019/04/01 18:50:48,7.0,1284.0,2019/04/01 18:50:49,25.0,25089.0,2019/04/01 18:50:50,6.0,1454.0,2019/04/01 18:50:51,7,1290
145.146.221.104,2019/04/01 18:50:23,6.0,1240.0,2019/04/01 18:50:24,6.0,1306.0,2019/04/01 18:50:25,6.0,1317.0,2019/04/01 18:50:26,7.0,1287.0,2019/04/01 18:50:46,7.0,6900.0,2019/04/01 18:50:47,6.0,1685.0,2019/04/01 18:50:48,7.0,1284.0,2019/04/01 18:50:49,25.0,25089.0,2019/04/01 18:50:50,6.0,1454.0,2019/04/01 18:50:51,7.0,1290.0,2019/04/01 18:50:52,5,1194
