ip_dst,time(t-10),traffic(t-10),data_len(t-10),time(t-9),traffic(t-9),data_len(t-9),time(t-8),traffic(t-8),data_len(t-8),time(t-7),traffic(t-7),data_len(t-7),time(t-6),traffic(t-6),data_len(t-6),time(t-5),traffic(t-5),data_len(t-5),time(t-4),traffic(t-4),data_len(t-4),time(t-3),traffic(t-3),data_len(t-3),time(t-2),traffic(t-2),data_len(t-2),time(t-1),traffic(t-1),data_len(t-1),time(t),traffic(t),data_len(t)
185.94.180.123,2019/02/28 22:59:55,2.0,2479.0,2019/02/28 22:59:56,1.0,1113.0,2019/02/28 22:59:57,1.0,1213.0,2019/02/28 22:59:58,2.0,2428.0,2019/02/28 22:59:59,2.0,2301.0,2019/02/28 23:00:01,14.0,18410.0,2019/02/28 23:00:02,1.0,1113.0,2019/02/28 23:00:03,1.0,1240.0,2019/02/28 23:00:04,1.0,1239.0,2019/02/28 23:00:05,1.0,1240.0,2019/02/28 23:00:09,1,1240
185.94.180.123,2019/02/28 22:59:56,1.0,1113.0,2019/02/28 22:59:57,1.0,1213.0,2019/02/28 22:59:58,2.0,2428.0,2019/02/28 22:59:59,2.0,2301.0,2019/02/28 23:00:01,14.0,18410.0,2019/02/28 23:00:02,1.0,1113.0,2019/02/28 23:00:03,1.0,1240.0,2019/02/28 23:00:04,1.0,1239.0,2019/02/28 23:00:05,1.0,1240.0,2019/02/28 23:00:09,1.0,1240.0,2019/02/28 23:00:10,7,8599
185.94.180.123,2019/02/28 22:59:57,1.0,1213.0,2019/02/28 22:59:58,2.0,2428.0,2019/02/28 22:59:59,2.0,2301.0,2019/02/28 23:00:01,14.0,18410.0,2019/02/28 23:00:02,1.0,1113.0,2019/02/28 23:00:03,1.0,1240.0,2019/02/28 23:00:04,1.0,1239.0,2019/02/28 23:00:05,1.0,1240.0,2019/02/28 23:00:09,1.0,1240.0,2019/02/28 23:00:10,7.0,8599.0,2019/02/28 23:00:11,1,1212
185.94.180.123,2019/02/28 22:59:58,2.0,2428.0,2019/02/28 22:59:59,2.0,2301.0,2019/02/28 23:00:01,14.0,18410.0,2019/02/28 23:00:02,1.0,1113.0,2019/02/28 23:00:03,1.0,1240.0,2019/02/28 23:00:04,1.0,1239.0,2019/02/28 23:00:05,1.0,1240.0,2019/02/28 23:00:09,1.0,1240.0,2019/02/28 23:00:10,7.0,8599.0,2019/02/28 23:00:11,1.0,1212.0,2019/02/28 23:00:14,1,1212
185.94.180.123,2019/02/28 22:59:59,2.0,2301.0,2019/02/28 23:00:01,14.0,18410.0,2019/02/28 23:00:02,1.0,1113.0,2019/02/28 23:00:03,1.0,1240.0,2019/02/28 23:00:04,1.0,1239.0,2019/02/28 23:00:05,1.0,1240.0,2019/02/28 23:00:09,1.0,1240.0,2019/02/28 23:00:10,7.0,8599.0,2019/02/28 23:00:11,1.0,1212.0,2019/02/28 23:00:14,1.0,1212.0,2019/02/28 23:00:15,1,1214
185.94.180.123,2019/02/28 23:00:01,14.0,18410.0,2019/02/28 23:00:02,1.0,1113.0,2019/02/28 23:00:03,1.0,1240.0,2019/02/28 23:00:04,1.0,1239.0,2019/02/28 23:00:05,1.0,1240.0,2019/02/28 23:00:09,1.0,1240.0,2019/02/28 23:00:10,7.0,8599.0,2019/02/28 23:00:11,1.0,1212.0,2019/02/28 23:00:14,1.0,1212.0,2019/02/28 23:00:15,1.0,1214.0,2019/02/28 23:00:17,12,15945
185.94.180.123,2019/02/28 23:00:02,1.0,1113.0,2019/02/28 23:00:03,1.0,1240.0,2019/02/28 23:00:04,1.0,1239.0,2019/02/28 23:00:05,1.0,1240.0,2019/02/28 23:00:09,1.0,1240.0,2019/02/28 23:00:10,7.0,8599.0,2019/02/28 23:00:11,1.0,1212.0,2019/02/28 23:00:14,1.0,1212.0,2019/02/28 23:00:15,1.0,1214.0,2019/02/28 23:00:17,12.0,15945.0,2019/02/28 23:00:20,1,1241
185.94.180.123,2019/02/28 23:00:03,1.0,1240.0,2019/02/28 23:00:04,1.0,1239.0,2019/02/28 23:00:05,1.0,1240.0,2019/02/28 23:00:09,1.0,1240.0,2019/02/28 23:00:10,7.0,8599.0,2019/02/28 23:00:11,1.0,1212.0,2019/02/28 23:00:14,1.0,1212.0,2019/02/28 23:00:15,1.0,1214.0,2019/02/28 23:00:17,12.0,15945.0,2019/02/28 23:00:20,1.0,1241.0,2019/02/28 23:00:21,1,1241
185.94.180.123,2019/02/28 23:00:04,1.0,1239.0,2019/02/28 23:00:05,1.0,1240.0,2019/02/28 23:00:09,1.0,1240.0,2019/02/28 23:00:10,7.0,8599.0,2019/02/28 23:00:11,1.0,1212.0,2019/02/28 23:00:14,1.0,1212.0,2019/02/28 23:00:15,1.0,1214.0,2019/02/28 23:00:17,12.0,15945.0,2019/02/28 23:00:20,1.0,1241.0,2019/02/28 23:00:21,1.0,1241.0,2019/02/28 23:00:23,1,1240
192.168.1.1,2019/02/28 22:58:28,3.0,140.0,2019/02/28 22:58:32,7.0,317.0,2019/02/28 22:58:33,4.0,183.0,2019/02/28 22:58:34,16.0,754.0,2019/02/28 22:58:35,43.0,1874.0,2019/02/28 22:58:36,25.0,1143.0,2019/02/28 22:58:37,16.0,771.0,2019/02/28 22:58:38,2.0,97.0,2019/02/28 22:58:45,12.0,534.0,2019/02/28 22:58:46,9.0,412.0,2019/02/28 22:58:47,26,1168
192.168.1.1,2019/02/28 22:58:32,7.0,317.0,2019/02/28 22:58:33,4.0,183.0,2019/02/28 22:58:34,16.0,754.0,2019/02/28 22:58:35,43.0,1874.0,2019/02/28 22:58:36,25.0,1143.0,2019/02/28 22:58:37,16.0,771.0,2019/02/28 22:58:38,2.0,97.0,2019/02/28 22:58:45,12.0,534.0,2019/02/28 22:58:46,9.0,412.0,2019/02/28 22:58:47,26.0,1168.0,2019/02/28 22:58:48,10,449
192.168.1.1,2019/02/28 22:58:33,4.0,183.0,2019/02/28 22:58:34,16.0,754.0,2019/02/28 22:58:35,43.0,1874.0,2019/02/28 22:58:36,25.0,1143.0,2019/02/28 22:58:37,16.0,771.0,2019/02/28 22:58:38,2.0,97.0,2019/02/28 22:58:45,12.0,534.0,2019/02/28 22:58:46,9.0,412.0,2019/02/28 22:58:47,26.0,1168.0,2019/02/28 22:58:48,10.0,449.0,2019/02/28 22:58:49,16,757
192.168.1.1,2019/02/28 22:58:34,16.0,754.0,2019/02/28 22:58:35,43.0,1874.0,2019/02/28 22:58:36,25.0,1143.0,2019/02/28 22:58:37,16.0,771.0,2019/02/28 22:58:38,2.0,97.0,2019/02/28 22:58:45,12.0,534.0,2019/02/28 22:58:46,9.0,412.0,2019/02/28 22:58:47,26.0,1168.0,2019/02/28 22:58:48,10.0,449.0,2019/02/28 22:58:49,16.0,757.0,2019/02/28 22:58:50,2,86
192.168.1.1,2019/02/28 22:58:35,43.0,1874.0,2019/02/28 22:58:36,25.0,1143.0,2019/02/28 22:58:37,16.0,771.0,2019/02/28 22:58:38,2.0,97.0,2019/02/28 22:58:45,12.0,534.0,2019/02/28 22:58:46,9.0,412.0,2019/02/28 22:58:47,26.0,1168.0,2019/02/28 22:58:48,10.0,449.0,2019/02/28 22:58:49,16.0,757.0,2019/02/28 22:58:50,2.0,86.0,2019/02/28 22:58:51,1,40
192.168.1.1,2019/02/28 22:58:36,25.0,1143.0,2019/02/28 22:58:37,16.0,771.0,2019/02/28 22:58:38,2.0,97.0,2019/02/28 22:58:45,12.0,534.0,2019/02/28 22:58:46,9.0,412.0,2019/02/28 22:58:47,26.0,1168.0,2019/02/28 22:58:48,10.0,449.0,2019/02/28 22:58:49,16.0,757.0,2019/02/28 22:58:50,2.0,86.0,2019/02/28 22:58:51,1.0,40.0,2019/02/28 22:58:52,20,864
192.168.1.1,2019/02/28 22:58:37,16.0,771.0,2019/02/28 22:58:38,2.0,97.0,2019/02/28 22:58:45,12.0,534.0,2019/02/28 22:58:46,9.0,412.0,2019/02/28 22:58:47,26.0,1168.0,2019/02/28 22:58:48,10.0,449.0,2019/02/28 22:58:49,16.0,757.0,2019/02/28 22:58:50,2.0,86.0,2019/02/28 22:58:51,1.0,40.0,2019/02/28 22:58:52,20.0,864.0,2019/02/28 22:58:53,7,345
192.168.1.1,2019/02/28 22:58:38,2.0,97.0,2019/02/28 22:58:45,12.0,534.0,2019/02/28 22:58:46,9.0,412.0,2019/02/28 22:58:47,26.0,1168.0,2019/02/28 22:58:48,10.0,449.0,2019/02/28 22:58:49,16.0,757.0,2019/02/28 22:58:50,2.0,86.0,2019/02/28 22:58:51,1.0,40.0,2019/02/28 22:58:52,20.0,864.0,2019/02/28 22:58:53,7.0,345.0,2019/02/28 22:58:54,12,515
192.168.1.1,2019/02/28 22:58:45,12.0,534.0,2019/02/28 22:58:46,9.0,412.0,2019/02/28 22:58:47,26.0,1168.0,2019/02/28 22:58:48,10.0,449.0,2019/02/28 22:58:49,16.0,757.0,2019/02/28 22:58:50,2.0,86.0,2019/02/28 22:58:51,1.0,40.0,2019/02/28 22:58:52,20.0,864.0,2019/02/28 22:58:53,7.0,345.0,2019/02/28 22:58:54,12.0,515.0,2019/02/28 22:58:55,2,105
